,Startups,Startups_1_person,"All Economic Activities, 2 to 10 Employed Persons","All Economic Activities, 10 to 50 Employed Persons","All Economic Activities, 50 to 250 Employed Persons","Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]","Netherlands, GDP [thousands]","Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing","Netherlands, Three month money market rate","Netherlands, Policy Rates, ECB, Fixed Rate Tenders","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, Employment","Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]","Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months","Netherlands, Composite PMI, EUR","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Total hours worked","Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA","Netherlands, Unemployment","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total","Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]","Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]","Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index","Netherlands, Producer Price Index, C Manufactured Products, Index","Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index","Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate","Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]","Netherlands, Nominal GDP [thousands]","Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield","Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid","Euro Area 19, Long term interest rate","Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro","Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]","Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]","Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD","Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR"
"Netherlands, Employment",0.003498452741769817,0.015098544608006591,-0.03543391691859119,-0.08097879779619863,-0.047774505975767115,0.49574712652322833,0.49297028537574195,0.19603000722596256,0.17672700046844234,0.19923099994310833,0.09333974361255953,1.0,-0.06063902452691958,-0.06378129591858243,-0.019249849590079735,-0.23301570921010065,-0.3352171897328501,-0.6659658798434914,-0.6921456821098021,0.14361529715501936,-0.12803077250398684,-0.10158278977755655,0.0646219685127491,0.007046300047359684,0.4822106696280788,0.29888078012811387,-0.1868658007172955,0.5840995605986501,0.5310091075029376,0.2263823058818608,0.21115796038203533,0.22295796642260834,0.17272304323814816,0.45373215348353385,0.4580719585304215,0.09478127469776138,0.09292454257340539,-0.04768472050226742
"Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]",0.15910031906222583,0.18363503465413536,0.005313885525741074,0.052754144032563184,-0.0895787230825203,-0.09866765181344836,-0.09724058383491302,-0.09338468107249993,-0.02298321686636002,0.011344760762007074,0.34647387849618966,-0.06063902452691958,1.0,-0.07818387424618853,-0.20335137995914893,-0.018042604902348,0.040554913557599465,0.17084900923414723,0.16244755695356827,0.14086366529692296,-0.004216082647383524,0.434682333762926,0.5778917094269886,-0.6264315451205388,0.23615714425898424,0.05649312262541796,-0.12058416921046541,-0.13733165571869008,-0.2176219755768232,0.06888317547931827,0.11753672807937424,0.1068397456076182,-0.12965753848547024,-0.03725262092271697,-0.09094271097127175,-0.0012161290535393856,-0.14376404802915743,0.33800640484132755
"Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months",-0.017015563040093367,-0.08479169534165368,0.21926019209937395,0.24151514819834163,0.12589044663584364,0.07579508836846767,0.07903924977438535,0.1516991689723688,0.15785616535468658,0.012801810168234493,-0.042908791838898355,-0.06378129591858243,-0.07818387424618853,1.0,0.2375097619993735,0.05011954820365238,0.060408429702090545,-0.14463816323136686,-0.15589758017834254,-0.09290028540843526,0.1439180180931358,-0.0717700082667091,-0.025106525344314817,-0.40230242046213277,-0.053757406311118146,0.2720633014910891,0.1428862853331755,-0.005440391589219111,0.03960181375584296,-0.0021015371321935787,0.09008882121998718,0.04523895816345192,0.15026329237722993,0.018811310163767612,-0.11622283716424807,0.13151445737390793,0.2921567749820438,0.28709895828362236
"Netherlands, Composite PMI, EUR",-0.02483618888607035,-0.025858293319374344,-0.01180594101771241,0.011465656221264041,0.0660465434938885,0.5716797554661834,0.5724619872516741,-0.013892556799570252,-0.05673038117539182,-0.03504723684489112,-0.15710508533532877,-0.019249849590079735,-0.20335137995914893,0.2375097619993735,1.0,-0.2380518942474392,-0.17023220793936844,-0.07877910340070031,-0.09181649012112755,-0.1901894382685536,-0.12333186382431345,-0.22390552530529245,0.01676761739226984,0.21667072192454823,0.2681876645097825,0.34549528508889865,0.07448982341778013,0.4432061004844623,0.45337152544693105,0.14620091164422533,0.16281173838163496,0.057548165601330616,-0.019140984596621724,0.4006442542505279,0.48025171399207983,0.12370014966731277,0.47760965122177923,-0.09150924177898866
"Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA",-0.06613326663408102,-0.0993332188447746,0.07195825058230014,0.15875200332785167,0.015819492021255436,-0.22596432612258568,-0.2256583655863076,0.02536630351274887,0.046050466259454644,-0.0020872307126935385,0.050987280034882086,-0.23301570921010065,-0.018042604902348,0.05011954820365238,-0.2380518942474392,1.0,0.8737472518024413,0.17181016691766934,0.22047762086062025,0.0015568549683076614,0.07840162119257713,-0.03762482995850354,-0.05172483983756241,-0.14760510185016315,-0.019467630951947805,-0.09344074202352846,-0.04628788836799055,-0.15942020050259634,-0.1561022270195509,-0.083357460404182,-0.029061454197627172,0.014423997575048548,0.010872101619010607,-0.04457080014109912,-0.18998693295637517,0.22806829074059373,-0.07968134291876934,0.03959650834129035
"Netherlands, Total hours worked",-0.07275985933790478,-0.0724330328533248,-0.04643903228114596,0.07460723564591945,-0.15336353522345064,-0.23655019613469092,-0.23622990210373487,0.04564949548077922,0.08556336086851514,0.021460673217869118,0.1088005167931825,-0.3352171897328501,0.040554913557599465,0.060408429702090545,-0.17023220793936844,0.8737472518024413,1.0,0.17796780190424993,0.22930169953826096,-0.02951344202124871,0.04930667074562666,-0.06511637851100917,-0.017363725916080135,-0.18146212214940594,-0.022995735092261778,-0.02274873146239185,-0.047301653606137334,-0.20441838457605618,-0.20183466696415242,0.090479769028366,0.11341738461773053,0.1029171106655805,0.07447703391708302,-0.101272504119721,-0.19507765701559238,0.25262961400282846,0.0648355623395834,0.03228372598879294
"Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA",-0.08912996926753494,-0.09999804050908563,-0.014139406813153527,0.012394320501529029,-0.036868159720082574,-0.2725067075778091,-0.272137727660401,-0.12953395304030593,-0.1390776244570768,-0.10334777440380993,0.037125374789393505,-0.6659658798434914,0.17084900923414723,-0.14463816323136686,-0.07877910340070031,0.17181016691766934,0.17796780190424993,1.0,0.9844088768176673,0.20692059088745363,-0.0820930204556563,0.0553836696212241,0.06416746774119216,0.08005186669839404,-0.4253573420418039,-0.3073591752422744,0.20626992452279466,-0.26130500571272564,-0.2277471275433901,-0.16067603521843654,-0.18907216204874494,-0.1742466690767612,-0.11795344460543127,-0.2887911540665746,-0.1674149784514018,-0.25066341103286943,-0.17231614344697788,0.07765565998070549
"Netherlands, Unemployment",-0.08988198420415379,-0.10045997651974269,-0.015788631586195926,0.018570519265926094,-0.0533469285480581,-0.31485948055756546,-0.31443315407861777,-0.1352156352270377,-0.13701418637524967,-0.11434980622777455,0.026560131996796948,-0.6921456821098021,0.16244755695356827,-0.15589758017834254,-0.09181649012112755,0.22047762086062025,0.22930169953826096,0.9844088768176673,1.0,0.16539975369496127,-0.04621412984022712,0.02994702648211082,0.045631780914401315,0.20321555556961718,-0.40518577674953715,-0.30857838135423166,0.1649441195907559,-0.28279530586117174,-0.21532660779664342,-0.16107891937470153,-0.19046215266202923,-0.17465800977378576,-0.112827622336715,-0.2857070321719021,-0.1880960960561506,-0.2188834132144421,-0.1696346915039487,0.09513363169959793
"Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total",-0.19218342073677752,-0.15166354484563838,-0.2429909823859633,-0.3079347426527499,-0.1309741959184762,0.07257734800507025,0.07247907672172961,-0.14096600694900313,-0.1060915196435299,0.016989699635307016,0.11983538292000323,0.14361529715501936,0.14086366529692296,-0.09290028540843526,-0.1901894382685536,0.0015568549683076614,-0.02951344202124871,0.20692059088745363,0.16539975369496127,1.0,-0.16672199805901633,0.19364465964008,0.10138771152428504,-0.14419316963325232,0.10637367736786338,-0.12100315964298108,-0.11979387100186381,0.11252285721818804,0.09490963860809103,-0.09925105530575135,-0.11170937761536187,-0.08944524530744703,-0.09540374285947899,-0.04154003924660596,0.05138811263318207,-0.27662267284742065,-0.1647704111600511,0.20844780059607418
"Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total",0.02791899604844773,-0.0324438212917202,0.22664751371326036,0.08713670147148624,-0.0981233990972104,-0.2590519993508511,-0.26573041326608643,0.09967082529837677,0.08834402791573623,-0.11925165104432775,0.03224890557682798,-0.12803077250398684,-0.004216082647383524,0.1439180180931358,-0.12333186382431345,0.07840162119257713,0.04930667074562666,-0.0820930204556563,-0.04621412984022712,-0.16672199805901633,1.0,0.2385632565524002,0.007126306181391703,-0.1250536263789032,0.023859597978978433,-0.042501337159986684,-0.025169264523379517,-0.19297582611225556,-0.13734904750386404,-0.1202226280925255,-0.06254599751075189,-0.11051283377142077,0.1389242672516601,-0.12866947595357126,-0.19975466812299567,0.16251396041853025,-0.1470464669370541,0.23132427910866643
"Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]",0.08865911204056039,0.0961092412033138,0.029358024283032823,-0.074725799770032,-0.08965295887714406,-0.1703135812131233,-0.16379187760755054,-0.2314588879655831,-0.18128114291924127,-0.1895255482898569,0.10940432851695168,-0.10158278977755655,0.434682333762926,-0.0717700082667091,-0.22390552530529245,-0.03762482995850354,-0.06511637851100917,0.0553836696212241,0.02994702648211082,0.19364465964008,0.2385632565524002,1.0,0.39671250066884206,-0.7467895217743518,0.06972639827351201,-0.17569449709581825,0.0019541995473412966,-0.23402024115094455,-0.30251171487328554,-0.3024003879270643,-0.27498090789483504,-0.21818200950164354,-0.25242020259331593,-0.1901027391814215,-0.20195563992131876,-0.13887624149775532,-0.3124946542871827,0.3540135239973709
"Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]",0.023112951469344476,0.02394381025203669,0.01038727614453138,0.019437067422055736,-0.04224508219725885,0.17278344686389413,0.17630024456177165,0.0763148946016142,0.10895485945078717,0.10459389978779969,0.09700726267244814,0.0646219685127491,0.5778917094269886,-0.025106525344314817,0.01676761739226984,-0.05172483983756241,-0.017363725916080135,0.06416746774119216,0.045631780914401315,0.10138771152428504,0.007126306181391703,0.39671250066884206,1.0,-0.1163541144413236,0.41078180069722525,0.13576705887735077,0.04209219724668563,0.07577381006497466,0.01818434592292171,0.09868251103269374,0.13631577100319808,0.0810703153327857,0.06308234125539139,0.08103846325792595,0.13437695356001872,-0.06512231933822099,-0.018621668953440647,0.1560294233693349
"Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index",-0.11529454858568845,-0.10734082909540689,-0.1039126826796514,-0.24334149986394354,-0.027809983907756852,-0.0038388593608998547,0.0019163890686936763,0.23974220453767225,0.13255551607504157,0.19274321969938307,-0.323630775653855,0.007046300047359684,-0.6264315451205388,-0.40230242046213277,0.21667072192454823,-0.14760510185016315,-0.18146212214940594,0.08005186669839404,0.20321555556961718,-0.14419316963325232,-0.1250536263789032,-0.7467895217743518,-0.1163541144413236,1.0,-0.10024311131829278,0.32859706773613195,-0.09930150483808903,0.15339684600851747,0.3902228999178211,-0.046008254115567915,-0.22244248911086384,-0.17834424507958277,0.24257069662238093,0.18774598348414212,0.1247717462069322,-0.09930150483809012,-0.07716580575590958,-0.3670553991816454
"Netherlands, Producer Price Index, C Manufactured Products, Index",0.15692189858509362,0.14259491468238839,0.19246928009369813,0.13772851495852612,-0.057445655188215046,0.506615777927375,0.5178095607766666,-0.3425105348850046,-0.30836355649511976,-0.3326581189363337,0.4577809624300791,0.4822106696280788,0.23615714425898424,-0.053757406311118146,0.2681876645097825,-0.019467630951947805,-0.022995735092261778,-0.4253573420418039,-0.40518577674953715,0.10637367736786338,0.023859597978978433,0.06972639827351201,0.41078180069722525,-0.10024311131829278,1.0,0.9976563637944964,-0.3449735173928281,0.45115669352248006,0.39824812313436403,0.3980760795023167,0.5134575150905898,0.4718538609726975,-0.29902369897694847,0.5455211235549714,0.4168475109635803,0.34491582623316264,0.8144205952190252,0.2347875479647749
"Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index",0.17031545210998172,0.17212026373279699,0.08556753441664455,0.18613581608255422,0.09498753683209882,0.4746714853748446,0.482052818963538,0.2729117211778488,0.29497776602016834,0.22936346667440546,0.4892400166287032,0.29888078012811387,0.05649312262541796,0.2720633014910891,0.34549528508889865,-0.09344074202352846,-0.02274873146239185,-0.3073591752422744,-0.30857838135423166,-0.12100315964298108,-0.042501337159986684,-0.17569449709581825,0.13576705887735077,0.32859706773613195,0.9976563637944964,1.0,-0.2127388470707267,0.47599844527285934,0.39182880341479814,0.5112696106687631,0.6075885503374755,0.5650876758943807,0.27816786079143574,0.4716485398186449,0.33953602596264787,0.34162534811707895,0.777709728845046,0.2107896055101728
"Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate",-0.08501403805322741,-0.11089213097297324,0.04102631689414779,0.013529067852697751,-0.00449758937592062,-0.0038414125203612213,-0.003836211165550208,0.0023571555754561603,-0.02386960959182104,-0.12602288409353893,-0.3325858797889364,-0.1868658007172955,-0.12058416921046541,0.1428862853331755,0.07448982341778013,-0.04628788836799055,-0.047301653606137334,0.20626992452279466,0.1649441195907559,-0.11979387100186381,-0.025169264523379517,0.0019541995473412966,0.04209219724668563,-0.09930150483808903,-0.3449735173928281,-0.2127388470707267,1.0,-0.1378929156723544,-0.07839584873032965,-0.10057007209556736,-0.12915680338312627,-0.10620852039662336,0.0009467472858409893,-0.043629096777549545,-0.06628684163814613,-0.1377056581888109,-0.1096715247311228,-0.011217476482744652
"Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]",0.05936312667667881,0.04255828886958072,0.09175997921026251,0.04829281501151678,0.1487358122366442,0.8688635723567408,0.8664456158217775,0.3168262117122412,0.2827140363484658,0.2563041743996684,0.2835127527510267,0.5840995605986501,-0.13733165571869008,-0.005440391589219111,0.4432061004844623,-0.15942020050259634,-0.20441838457605618,-0.26130500571272564,-0.28279530586117174,0.11252285721818804,-0.19297582611225556,-0.23402024115094455,0.07577381006497466,0.15339684600851747,0.45115669352248006,0.47599844527285934,-0.1378929156723544,1.0,0.9209303711372596,0.2956669546543822,0.3237798922238141,0.22540881089819081,0.30534879365327583,0.7293637380664594,0.8326966515899036,0.3036508697291684,0.279670676529048,0.07523132897935128
